Date,LQI
1,1
2,100
3,1
4,80
5,1
6,1
7,104
8,104
9,100
10,99
11,104
12,103
13,101
14,1
15,106
16,103
17,104
18,1
19,105
20,98
21,102
22,1
23,100
24,102
25,1
26,1
27,100
28,1
29,1
30,106
31,104
32,1
33,1
34,1
35,105
36,102
37,102
38,101
39,102
40,101
41,1
42,100
43,1
44,100
45,1
46,103
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,103
56,1
57,1
58,1
59,1
60,104
61,1
62,1
63,1
64,1
65,107
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,87
78,1
79,1
80,101
81,1
82,1
83,107
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,103
106,1
107,1
108,1
109,1
110,105
111,1
112,1
113,1
114,104
115,1
116,106
117,106
118,74
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,107
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,105
145,1
146,1
147,1
148,105
149,1
150,1
151,106
152,1
153,107
154,103
155,106
156,104
157,106
158,104
159,107
160,105
161,98
162,1
163,105
164,101
165,1
166,1
167,101
168,1
169,1
170,103
171,1
172,94
173,103
174,1
175,106
176,1
177,1
178,1
179,1
180,99
181,94
182,1
183,1
184,102
185,1
186,1
187,102
188,1
189,1
190,102
191,1
192,103
193,1
194,1
195,104
196,1
197,1
198,1
199,105
200,103
201,1
202,104
203,1
204,1
205,102
206,103
207,103
208,101
209,1
210,105
211,100
212,1
213,105
214,1
215,1
216,1
217,1
218,1
219,1
220,103
221,1
222,1
223,100
224,99
225,105
226,103
227,105
228,105
229,105
230,106
231,103
232,104
233,106
234,106
235,104
236,103
237,102
238,101
239,106
240,104
241,100
242,100
243,105
244,105
245,103
246,104
247,103
248,105
249,103
250,97
251,98
252,104
253,102
254,100
255,105
256,102
257,105
258,103
259,105
260,103
261,102
262,100
263,102
264,101
265,100
266,100
267,99
268,101
269,104
270,104
271,102
272,103
273,1
274,105
275,104
276,102
277,104
278,99
279,99
280,103
281,103
282,104
283,104
284,103
285,102
286,103
287,103
288,102
289,105
290,104
291,100
292,100
293,100
294,105
295,99
296,103
297,100
298,104
299,105
300,106
301,104
302,104
303,101
304,103
305,104
306,104
307,102
308,105
309,101
310,102
311,102
312,100
313,106
314,105
315,104
316,104
317,102
318,102
319,105
320,102
321,103
322,100
323,103
324,102
325,103
326,103
327,105
328,105
329,104
330,103
331,105
332,103
333,104
334,104
335,103
336,1
337,101
338,102
339,103
340,102
341,104
342,102
343,104
344,104
345,1
346,1
347,1
348,103
349,104
350,104
351,103
352,107
353,1
354,1
355,1
356,104
357,104
358,103
359,101
360,103
361,1
362,1
363,99
364,1
365,103
366,100
367,106
368,104
369,1
370,103
371,101
372,102
373,103
374,1
375,101
376,104
377,1
378,1
379,101
380,103
381,1
382,104
383,1
384,103
385,1
386,1
387,100
388,104
389,103
390,100
391,1
392,1
393,99
394,104
395,102
396,103
397,106
398,105
399,105
400,99
401,101
402,102
403,104
404,98
405,102
406,104
407,101
408,103
409,102
410,104
411,101
412,104
413,107
414,101
415,105
416,100
417,102
418,102
419,101
420,105
421,103
422,104
423,94
424,100
425,104
426,104
427,105
428,104
429,100
430,103
431,104
432,101
433,103
434,104
435,105
436,101
437,105
438,104
439,101
440,102
441,100
442,98
443,106
444,100
445,104
446,98
447,99
448,101
449,100
450,104
451,100
452,102
453,99
454,101
455,104
456,103
457,101
458,99
459,103
460,102
461,105
462,104
463,102
464,102
465,103
466,102
467,105
468,103
469,97
470,102
471,102
472,102
473,102
474,98
475,103
476,103
477,100
478,100
479,102
480,97
481,102
482,100
483,102
484,103
485,104
486,105
487,102
488,103
489,102
490,101
491,103
492,103
493,102
494,100
495,102
496,104
497,104
498,103
499,104
500,103
501,101
502,100
503,100
504,99
505,1
506,106
507,1
508,102
509,103
510,100
511,101
512,101
513,1
514,1
515,101
516,102
517,100
518,1
519,103
520,101
521,1
522,91
523,100
524,99
525,104
526,102
527,106
528,102
529,1
530,1
531,1
532,1
533,1
534,104
535,1
536,1
537,1
538,1
539,102
540,105
541,101
542,1
543,95
544,103
545,1
546,102
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,102
559,103
560,103
561,102
562,107
563,101
564,104
565,103
566,101
567,1
568,1
569,102
570,98
571,1
572,1
573,1
574,100
575,1
576,102
577,1
578,1
579,98
580,105
581,103
582,1
583,101
584,102
585,1
586,103
587,1
588,100
589,102
590,102
591,104
592,98
593,1
594,101
595,1
596,102
597,102
598,1
599,1
600,1
601,105
602,102
603,1
604,1
605,1
606,104
607,104
608,1
609,102
610,102
611,1
612,103
613,1
614,103
615,103
616,1
617,1
618,100
619,1
620,100
621,1
622,102
623,100
624,101
625,1
626,105
627,97
628,103
629,104
630,104
631,103
632,105
633,101
634,1
635,101
636,104
637,1
638,1
639,101
640,102
641,1
642,103
643,102
644,96
645,101
646,1
647,1
648,101
649,104
650,101
651,100
652,105
653,103
654,103
655,104
656,1
657,103
658,1
659,103
660,103
661,99
662,101
663,104
664,1
665,1
666,1
667,102
668,102
669,100
670,103
671,104
672,103
673,97
674,101
675,98
676,102
677,102
678,104
679,103
680,102
681,1
682,1
683,1
684,102
685,1
686,1
687,1
688,103
689,1
690,1
691,102
692,102
693,105
694,103
695,102
696,103
697,1
698,1
699,1
700,102
701,100
702,1
703,103
704,104
705,100
706,1
707,101
708,98
709,84
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,104
720,104
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,106
730,101
731,106
732,103
733,102
734,106
735,104
736,106
737,107
738,105
739,104
740,107
741,107
742,107
743,105
744,106
745,107
746,106
747,105
748,1
749,107
750,105
751,1
752,108
753,103
754,92
755,93
756,72
757,1
758,90
759,95
760,91
761,106
762,105
763,107
764,105
765,105
766,106
767,105
768,106
769,1
770,107
771,105
772,1
773,106
774,107
775,104
776,106
777,99
778,105
779,104
780,103
781,1
782,1
783,106
784,1
785,106
786,105
787,108
788,105
789,107
790,102
791,104
792,105
793,105
794,106
795,105
796,105
797,107
798,104
799,107
800,105
801,105
802,106
803,106
804,1
805,107
806,106
807,106
808,108
809,105
810,105
811,106
812,1
813,105
814,106
815,106
816,106
817,104
818,101
819,106
820,106
821,106
822,1
823,106
824,104
825,105
826,102
827,107
828,105
829,107
830,103
831,106
832,107
833,106
834,105
835,106
836,106
837,105
838,105
839,106
840,103
841,105
842,1
843,1
844,107
845,105
846,1
847,104
848,107
849,105
850,106
851,1
852,107
853,1
854,105
855,106
856,1
857,1
858,1
859,105
860,1
861,1
862,1
863,1
864,1
865,107
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,107
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,107
898,106
899,106
900,105
901,105
902,105
903,106
904,107
905,106
906,106
907,103
908,107
909,107
910,106
911,107
912,103
913,104
914,90
915,106
916,107
917,107
918,107
919,104
920,106
921,105
922,105
923,106
924,105
925,104
926,106
927,107
928,104
929,107
930,105
931,106
932,106
933,106
934,107
935,107
936,107
937,105
938,106
939,105
940,103
941,107
942,106
943,106
944,105
945,105
946,106
947,104
948,104
949,105
950,104
951,101
952,106
953,104
954,105
955,105
956,106
957,105
958,105
959,106
960,105
961,107
962,107
963,105
964,106
965,103
966,107
967,105
968,106
969,106
970,105
971,104
972,102
973,106
974,104
975,105
976,106
977,105
978,107
979,107
980,105
981,105
982,106
983,106
984,105
985,107
986,106
987,105
988,102
989,107
990,105
991,107
992,105
993,106
994,105
995,104
996,107
997,97
998,106
999,106
1000,106
1001,105
1002,105
1003,102
1004,105
1005,104
1006,104
1007,103
1008,106
1009,1
1010,1
1011,107
1012,107
1013,106
1014,102
1015,105
1016,108
1017,1
1018,107
1019,107
1020,106
1021,108
1022,107
1023,107
1024,108
1025,1
1026,106
1027,107
1028,107
1029,104
1030,106
1031,100
1032,89
1033,1
1034,107
1035,108
1036,107
1037,105
1038,106
1039,108
1040,80
