Date,LQI
1,1
2,105
3,105
4,78
5,72
6,95
7,102
8,103
9,1
10,103
11,103
12,104
13,98
14,101
15,1
16,106
17,1
18,95
19,102
20,1
21,1
22,102
23,100
24,96
25,1
26,100
27,103
28,106
29,101
30,1
31,1
32,103
33,100
34,1
35,102
36,104
37,99
38,1
39,105
40,99
41,103
42,98
43,100
44,99
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,100
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,97
63,104
64,1
65,1
66,1
67,1
68,1
69,107
70,1
71,1
72,106
73,1
74,1
75,105
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,105
101,1
102,1
103,103
104,1
105,105
106,1
107,1
108,1
109,1
110,1
111,103
112,1
113,1
114,1
115,1
116,106
117,77
118,1
119,1
120,1
121,1
122,1
123,1
124,107
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,105
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,106
152,1
153,104
154,1
155,106
156,106
157,107
158,105
159,106
160,105
161,102
162,100
163,102
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,105
172,101
173,100
174,100
175,100
176,1
177,101
178,1
179,101
180,1
181,92
182,100
183,105
184,1
185,1
186,102
187,1
188,1
189,106
190,99
191,1
192,103
193,1
194,99
195,103
196,1
197,106
198,1
199,1
200,1
201,1
202,101
203,1
204,1
205,1
206,104
207,80
208,1
209,101
210,105
211,100
212,101
213,1
214,103
215,102
216,1
217,1
218,103
219,1
220,98
221,105
222,1
223,99
224,1
225,98
226,98
227,99
228,103
229,101
230,102
231,104
232,105
233,99
234,101
235,101
236,103
237,101
238,99
239,1
240,102
241,97
242,100
243,104
244,101
245,100
246,103
247,106
248,104
249,97
250,105
251,94
252,103
253,102
254,103
255,104
256,102
257,101
258,103
259,104
260,105
261,104
262,104
263,102
264,101
265,104
266,103
267,104
268,104
269,99
270,103
271,103
272,100
273,101
274,101
275,101
276,103
277,103
278,103
279,103
280,101
281,102
282,104
283,105
284,104
285,102
286,100
287,103
288,103
289,104
290,103
291,102
292,104
293,102
294,106
295,103
296,1
297,105
298,106
299,105
300,100
301,105
302,103
303,105
304,104
305,103
306,100
307,104
308,101
309,103
310,104
311,102
312,102
313,101
314,105
315,104
316,104
317,103
318,101
319,100
320,104
321,103
322,101
323,103
324,99
325,102
326,103
327,101
328,96
329,103
330,104
331,102
332,103
333,104
334,104
335,105
336,104
337,104
338,104
339,102
340,104
341,104
342,1
343,100
344,104
345,1
346,103
347,101
348,101
349,100
350,101
351,104
352,103
353,100
354,100
355,1
356,1
357,102
358,104
359,1
360,99
361,102
362,1
363,1
364,1
365,104
366,102
367,104
368,101
369,105
370,106
371,1
372,1
373,104
374,104
375,104
376,103
377,1
378,102
379,1
380,102
381,1
382,1
383,106
384,1
385,1
386,1
387,101
388,102
389,1
390,104
391,103
392,100
393,104
394,102
395,103
396,102
397,103
398,95
399,103
400,102
401,105
402,104
403,102
404,96
405,105
406,100
407,102
408,94
409,101
410,105
411,104
412,104
413,103
414,102
415,101
416,103
417,101
418,100
419,103
420,101
421,104
422,102
423,104
424,97
425,102
426,104
427,103
428,98
429,105
430,102
431,106
432,105
433,102
434,99
435,105
436,83
437,97
438,103
439,99
440,104
441,104
442,104
443,100
444,96
445,103
446,101
447,102
448,104
449,100
450,102
451,103
452,105
453,104
454,105
455,103
456,101
457,103
458,101
459,106
460,103
461,105
462,99
463,100
464,104
465,100
466,97
467,105
468,100
469,103
470,100
471,102
472,104
473,104
474,103
475,106
476,102
477,101
478,99
479,95
480,105
481,103
482,106
483,106
484,105
485,106
486,101
487,105
488,104
489,104
490,106
491,103
492,104
493,102
494,98
495,99
496,100
497,100
498,103
499,101
500,102
501,105
502,102
503,104
504,105
505,103
506,101
507,105
508,103
509,105
510,101
511,97
512,100
513,101
514,97
515,100
516,98
517,1
518,103
519,1
520,102
521,1
522,100
523,1
524,106
525,98
526,106
527,99
528,103
529,105
530,102
531,99
532,100
533,104
534,1
535,102
536,105
537,104
538,104
539,100
540,103
541,105
542,96
543,1
544,100
545,99
546,1
547,102
548,103
549,97
550,1
551,1
552,101
553,1
554,1
555,102
556,94
557,104
558,105
559,1
560,1
561,105
562,103
563,104
564,1
565,104
566,103
567,105
568,99
569,106
570,98
571,105
572,103
573,1
574,104
575,100
576,100
577,104
578,103
579,101
580,103
581,1
582,105
583,101
584,101
585,1
586,1
587,1
588,100
589,105
590,1
591,1
592,1
593,105
594,1
595,102
596,103
597,102
598,104
599,103
600,101
601,1
602,101
603,1
604,104
605,1
606,99
607,1
608,1
609,1
610,1
611,1
612,103
613,99
614,101
615,100
616,1
617,1
618,97
619,101
620,102
621,104
622,1
623,1
624,102
625,1
626,1
627,1
628,103
629,1
630,1
631,106
632,103
633,102
634,1
635,101
636,1
637,103
638,104
639,102
640,101
641,105
642,102
643,101
644,101
645,102
646,1
647,103
648,96
649,103
650,1
651,104
652,101
653,105
654,102
655,104
656,99
657,101
658,101
659,98
660,101
661,105
662,1
663,106
664,1
665,1
666,1
667,1
668,100
669,101
670,1
671,1
672,103
673,1
674,1
675,1
676,104
677,104
678,103
679,102
680,103
681,1
682,104
683,1
684,1
685,1
686,104
687,103
688,100
689,1
690,1
691,1
692,1
693,102
694,1
695,102
696,100
697,1
698,100
699,1
700,1
701,1
702,101
703,102
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,98
719,1
720,1
721,1
722,1
723,1
724,1
725,100
726,1
727,100
728,106
729,105
730,94
731,106
732,98
733,106
734,106
735,106
736,107
737,106
738,104
739,104
740,106
741,104
742,106
743,103
744,105
745,106
746,107
747,104
748,106
749,106
750,107
751,104
752,105
753,98
754,94
755,89
756,92
757,1
758,98
759,93
760,80
761,104
762,105
763,104
764,106
765,103
766,106
767,106
768,106
769,104
770,106
771,105
772,105
773,107
774,105
775,92
776,102
777,106
778,103
779,106
780,104
781,1
782,104
783,107
784,1
785,105
786,104
787,105
788,106
789,105
790,104
791,106
792,104
793,107
794,104
795,106
796,107
797,106
798,105
799,106
800,106
801,107
802,104
803,107
804,107
805,90
806,102
807,106
808,107
809,106
810,106
811,104
812,1
813,105
814,107
815,106
816,106
817,107
818,107
819,106
820,106
821,105
822,1
823,107
824,106
825,106
826,108
827,106
828,104
829,105
830,104
831,107
832,103
833,108
834,105
835,106
836,106
837,105
838,107
839,107
840,106
841,1
842,106
843,1
844,106
845,1
846,1
847,1
848,105
849,1
850,106
851,1
852,106
853,104
854,1
855,1
856,103
857,1
858,1
859,107
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,106
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,105
897,104
898,103
899,106
900,105
901,107
902,105
903,107
904,106
905,107
906,107
907,105
908,105
909,106
910,106
911,105
912,106
913,105
914,106
915,107
916,106
917,105
918,104
919,105
920,106
921,107
922,105
923,107
924,106
925,106
926,103
927,107
928,104
929,105
930,107
931,106
932,106
933,107
934,108
935,107
936,107
937,69
938,104
939,107
940,107
941,106
942,105
943,106
944,107
945,107
946,103
947,107
948,106
949,107
950,106
951,98
952,107
953,106
954,104
955,91
956,107
957,107
958,105
959,105
960,106
961,106
962,73
963,89
964,104
965,107
966,106
967,105
968,103
969,107
970,92
971,107
972,106
973,105
974,105
975,105
976,106
977,106
978,101
979,107
980,107
981,106
982,106
983,105
984,107
985,107
986,108
987,107
988,106
989,107
990,108
991,107
992,107
993,107
994,105
995,104
996,105
997,106
998,104
999,107
1000,105
1001,101
1002,107
1003,106
1004,106
1005,107
1006,106
1007,106
1008,107
1009,107
1010,104
1011,106
1012,107
1013,106
1014,107
1015,107
1016,106
1017,107
1018,107
1019,107
1020,107
1021,108
1022,108
1023,108
1024,108
1025,107
1026,106
1027,1
1028,107
1029,1
1030,107
1031,105
1032,107
1033,107
1034,106
1035,106
1036,108
1037,107
1038,107
1039,107
1040,106
1041,108
1042,108
1043,107
1044,104
1045,1
1046,108
1047,108
1048,106
1049,108
1050,108
1051,107
1052,105
